timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote
2020-03-20 16:00:00,6614.32000000,6664.99000000,6321.12000000,6438.18000000,13369.47050400,2020-03-20 16:59:59,86187601.51415463,92684,6049.48833700,39002953.88682651
2020-03-20 17:00:00,6438.19000000,6472.20000000,6342.02000000,6415.90000000,5791.16567700,2020-03-20 17:59:59,37129408.60959160,45716,2620.47056100,16804511.47411772
2020-03-20 18:00:00,6416.04000000,6423.78000000,6162.70000000,6193.66000000,10839.89910300,2020-03-20 18:59:59,67933858.61129441,72112,5099.65528300,31954258.39647534
2020-03-20 19:00:00,6192.59000000,6293.29000000,6153.74000000,6187.59000000,5934.17255300,2020-03-20 19:59:59,36987362.50331734,45701,2947.68570700,18374227.37581441
2020-03-20 20:00:00,6184.53000000,6190.00000000,5670.00000000,5963.79000000,24066.76423500,2020-03-20 20:59:59,143076895.06557570,132696,10318.87749700,61333164.58048959
2020-03-20 21:00:00,5970.09000000,6269.94000000,5901.23000000,6239.19000000,10685.45214500,2020-03-20 21:59:59,65062208.64661070,71879,5367.81751200,32696679.93929196
2020-03-20 22:00:00,6239.19000000,6374.99000000,6057.01000000,6162.10000000,10734.67685400,2020-03-20 22:59:59,66669137.34286620,84425,5143.01319000,31943159.66766554
2020-03-20 23:00:00,6162.10000000,6240.00000000,6078.00000000,6208.36000000,5293.26223400,2020-03-20 23:59:59,32631644.98835604,41665,2671.76342600,16475744.28856252
2020-03-21 00:00:00,6204.57000000,6223.20000000,6062.03000000,6140.88000000,6418.75848500,2020-03-21 00:59:59,39316583.91867077,46938,3297.65932700,20199392.83271718
2020-03-21 01:00:00,6140.88000000,6294.77000000,6129.36000000,6285.00000000,4447.48398500,2020-03-21 01:59:59,27721633.65660711,37288,2376.92451100,14813603.86816569
2020-03-21 02:00:00,6285.00000000,6380.00000000,6230.33000000,6278.37000000,6756.13176200,2020-03-21 02:59:59,42629842.11158661,52655,3198.66424200,20188184.84877790
2020-03-21 03:00:00,6278.71000000,6287.22000000,6156.01000000,6267.45000000,5195.58526300,2020-03-21 03:59:59,32325181.84736414,35559,2587.17822300,16099252.81360465
2020-03-21 04:00:00,6269.34000000,6330.18000000,6140.00000000,6174.87000000,3814.94733100,2020-03-21 04:59:59,23764181.88574647,33437,1646.11298400,10254208.63236361
2020-03-21 05:00:00,6173.77000000,6216.65000000,6082.59000000,6112.18000000,4166.69729800,2020-03-21 05:59:59,25609083.45843942,34867,2007.53465500,12340097.51555421
